FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
01,Alabama,1976,01,"2,605,000   ","1,484,555   ",57.0   ,"1,386,023   ",53.2   ,"98,532   ",6.6   
02,Alaska,1976,01,"232,000   ","160,183   ",69.0   ,"148,820   ",64.1   ,"11,363   ",7.1   
04,Arizona,1976,01,"1,621,000   ","964,120   ",59.5   ,"865,871   ",53.4   ,"98,249   ",10.2   
05,Arkansas,1976,01,"1,536,000   ","889,044   ",57.9   ,"824,395   ",53.7   ,"64,649   ",7.3   
06,California,1976,01,"15,621,000   ","9,774,280   ",62.6   ,"8,875,685   ",56.8   ,"898,595   ",9.2   
037,Los Angeles County,1976,01,"5,273,000   ","3,381,856   ",64.1   ,"3,081,806   ",58.4   ,"300,050   ",8.9   
08,Colorado,1976,01,"1,832,000   ","1,230,966   ",67.2   ,"1,160,104   ",63.3   ,"70,862   ",5.8   
09,Connecticut,1976,01,"2,248,000   ","1,442,847   ",64.2   ,"1,301,974   ",57.9   ,"140,873   ",9.8   
10,Delaware,1976,01,"417,000   ","261,418   ",62.7   ,"240,543   ",57.7   ,"20,875   ",8.0   
11,District of Columbia,1976,01,"520,000   ","334,691   ",64.4   ,"305,677   ",58.8   ,"29,014   ",8.7   
12,Florida,1976,01,"6,421,000   ","3,584,876   ",55.8   ,"3,238,460   ",50.4   ,"346,416   ",9.7   
13,Georgia,1976,01,"3,522,000   ","2,244,770   ",63.7   ,"2,056,467   ",58.4   ,"188,303   ",8.4   
15,Hawaii,1976,01,"583,000   ","407,457   ",69.9   ,"367,586   ",63.1   ,"39,871   ",9.8   
16,Idaho,1976,01,"580,000   ","365,606   ",63.0   ,"345,182   ",59.5   ,"20,424   ",5.6   
17,Illinois,1976,01,"8,127,000   ","5,123,609   ",63.0   ,"4,786,415   ",58.9   ,"337,194   ",6.6   
18,Indiana,1976,01,"3,789,000   ","2,425,346   ",64.0   ,"2,265,849   ",59.8   ,"159,497   ",6.6   
19,Iowa,1976,01,"2,066,000   ","1,329,798   ",64.4   ,"1,272,281   ",61.6   ,"57,517   ",4.3   
20,Kansas,1976,01,"1,635,000   ","1,065,059   ",65.1   ,"1,020,396   ",62.4   ,"44,663   ",4.2   
21,Kentucky,1976,01,"2,459,000   ","1,486,550   ",60.5   ,"1,402,625   ",57.0   ,"83,925   ",5.6   
22,Louisiana,1976,01,"2,672,000   ","1,517,348   ",56.8   ,"1,421,440   ",53.2   ,"95,908   ",6.3   
23,Maine,1976,01,"764,000   ","474,371   ",62.1   ,"433,260   ",56.7   ,"41,111   ",8.7   
24,Maryland,1976,01,"2,954,000   ","1,899,337   ",64.3   ,"1,777,055   ",60.2   ,"122,282   ",6.4   
25,Massachusetts,1976,01,"4,194,000   ","2,717,096   ",64.8   ,"2,432,377   ",58.0   ,"284,719   ",10.5   
26,Michigan,1976,01,"6,417,000   ","3,952,851   ",61.6   ,"3,562,759   ",55.5   ,"390,092   ",9.9   
27,Minnesota,1976,01,"2,788,000   ","1,829,382   ",65.6   ,"1,719,817   ",61.7   ,"109,565   ",6.0   
28,Mississippi,1976,01,"1,640,000   ","963,611   ",58.8   ,"899,280   ",54.8   ,"64,331   ",6.7   
29,Missouri,1976,01,"3,464,000   ","2,094,063   ",60.5   ,"1,969,511   ",56.9   ,"124,552   ",5.9   
30,Montana,1976,01,"531,000   ","332,790   ",62.7   ,"313,402   ",59.0   ,"19,388   ",5.8   
31,Nebraska,1976,01,"1,095,000   ","711,096   ",64.9   ,"687,431   ",62.8   ,"23,665   ",3.3   
32,Nevada,1976,01,"451,000   ","321,579   ",71.3   ,"291,933   ",64.7   ,"29,646   ",9.2   
33,New Hampshire,1976,01,"593,000   ","390,934   ",65.9   ,"365,509   ",61.6   ,"25,425   ",6.5   
34,New Jersey,1976,01,"5,358,000   ","3,294,120   ",61.5   ,"2,954,259   ",55.1   ,"339,861   ",10.3   
35,New Mexico,1976,01,"792,000   ","481,330   ",60.8   ,"439,744   ",55.5   ,"41,586   ",8.6   
36,New York,1976,01,"13,196,000   ","7,658,970   ",58.0   ,"6,872,159   ",52.1   ,"786,811   ",10.3   
51000,New York city,1976,01,"5,694,000   ","3,066,605   ",53.9   ,"2,723,016   ",47.8   ,"343,589   ",11.2   
37,North Carolina,1976,01,"3,898,000   ","2,590,713   ",66.5   ,"2,424,106   ",62.2   ,"166,607   ",6.4   
38,North Dakota,1976,01,"442,000   ","276,793   ",62.6   ,"267,268   ",60.5   ,"9,525   ",3.4   
39,Ohio,1976,01,"7,701,000   ","4,754,858   ",61.7   ,"4,368,782   ",56.7   ,"386,076   ",8.1   
40,Oklahoma,1976,01,"1,999,000   ","1,186,198   ",59.3   ,"1,116,824   ",55.9   ,"69,374   ",5.8   
41,Oregon,1976,01,"1,716,000   ","1,078,645   ",62.9   ,"976,450   ",56.9   ,"102,195   ",9.5   
42,Pennsylvania,1976,01,"8,774,000   ","5,122,733   ",58.4   ,"4,710,510   ",53.7   ,"412,223   ",8.0   
44,Rhode Island,1976,01,"691,000   ","440,979   ",63.8   ,"406,706   ",58.9   ,"34,273   ",7.8   
45,South Carolina,1976,01,"1,984,000   ","1,295,867   ",65.3   ,"1,200,437   ",60.5   ,"95,430   ",7.4   
46,South Dakota,1976,01,"477,000   ","308,031   ",64.6   ,"297,972   ",62.5   ,"10,059   ",3.3   
47,Tennessee,1976,01,"3,078,000   ","1,834,194   ",59.6   ,"1,723,616   ",56.0   ,"110,578   ",6.0   
48,Texas,1976,01,"8,818,000   ","5,623,303   ",63.8   ,"5,294,695   ",60.0   ,"328,608   ",5.8   
49,Utah,1976,01,"824,000   ","517,325   ",62.8   ,"487,063   ",59.1   ,"30,262   ",5.8   
