FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
01,Alabama,1976,01,"2,605,000   ","1,486,509   ",57.1   ,"1,387,606   ",53.3   ,"98,903   ",6.7   
02,Alaska,1976,01,"232,000   ","160,709   ",69.3   ,"149,226   ",64.3   ,"11,483   ",7.1   
04,Arizona,1976,01,"1,621,000   ","963,980   ",59.5   ,"865,261   ",53.4   ,"98,719   ",10.2   
05,Arkansas,1976,01,"1,536,000   ","889,912   ",57.9   ,"825,233   ",53.7   ,"64,679   ",7.3   
06,California,1976,01,"15,621,000   ","9,770,553   ",62.5   ,"8,873,133   ",56.8   ,"897,420   ",9.2   
037,Los Angeles County,1976,01,"5,273,000   ","3,371,503   ",63.9   ,"3,072,632   ",58.3   ,"298,871   ",8.9   
08,Colorado,1976,01,"1,832,000   ","1,232,215   ",67.3   ,"1,161,075   ",63.4   ,"71,140   ",5.8   
09,Connecticut,1976,01,"2,248,000   ","1,440,708   ",64.1   ,"1,301,224   ",57.9   ,"139,484   ",9.7   
10,Delaware,1976,01,"417,000   ","261,577   ",62.7   ,"240,636   ",57.7   ,"20,941   ",8.0   
11,District of Columbia,1976,01,"520,000   ","334,885   ",64.4   ,"305,475   ",58.7   ,"29,410   ",8.8   
12,Florida,1976,01,"6,421,000   ","3,582,095   ",55.8   ,"3,236,530   ",50.4   ,"345,565   ",9.6   
13,Georgia,1976,01,"3,522,000   ","2,245,347   ",63.8   ,"2,057,594   ",58.4   ,"187,753   ",8.4   
15,Hawaii,1976,01,"583,000   ","407,611   ",69.9   ,"368,546   ",63.2   ,"39,065   ",9.6   
16,Idaho,1976,01,"580,000   ","366,151   ",63.1   ,"345,739   ",59.6   ,"20,412   ",5.6   
17,Illinois,1976,01,"8,127,000   ","5,124,965   ",63.1   ,"4,785,909   ",58.9   ,"339,056   ",6.6   
18,Indiana,1976,01,"3,789,000   ","2,425,548   ",64.0   ,"2,266,110   ",59.8   ,"159,438   ",6.6   
19,Iowa,1976,01,"2,066,000   ","1,330,037   ",64.4   ,"1,271,761   ",61.6   ,"58,276   ",4.4   
20,Kansas,1976,01,"1,635,000   ","1,066,303   ",65.2   ,"1,021,475   ",62.5   ,"44,828   ",4.2   
21,Kentucky,1976,01,"2,459,000   ","1,487,555   ",60.5   ,"1,403,925   ",57.1   ,"83,630   ",5.6   
22,Louisiana,1976,01,"2,672,000   ","1,519,104   ",56.9   ,"1,422,795   ",53.2   ,"96,309   ",6.3   
23,Maine,1976,01,"764,000   ","474,334   ",62.1   ,"433,277   ",56.7   ,"41,057   ",8.7   
